# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# best_lender
 31	                 31	                 17	                  6	                  6	                 16	                 12	                 26	                 18	                 11	                 29	                  4	                 31	                 47	                 17	                 18	                  6	                 21	                  8	                 32	                 25	                  1	                 46	                 34	                 16	                  8	                 27	                 18	                  9	                 19	                 37	                 28	                 48	                  7	                 24	                 21	                 29	                 24	                 27	                  5	                 20	                  9	                 32	                 28	                 46	                 43	                 36	                 29	                 15	                 45	                 28
 32	                 31	                 45	                 40	                  6	                 16	                 37	                 26	                 27	                 16	                 47	                 34	                 39	                 40	                 12	                 44	                  6	                 23	                  3	                 35	                 25	                 40	                 16	                 33	                 16	                 18	                  6	                 18	                 15	                 19	                 37	                 28	                 38	                  8	                 24	                 21	                 11	                 17	                 27	                  2	                  7	                 48	                 19	                 22	                 46	                 18	                 32	                 29	                 48	                 12	                 28
 33	                 27	                 17	                  4	                 22	                 15	                 34	                 39	                 39	                 28	                 47	                 34	                 45	                 40	                 12	                 45	                 28	                 28	                 40	                 45	                 14	                 40	                  9	                  9	                  5	                  2	                  6	                 43	                 24	                 48	                 22	                 24	                 26	                  8	                 24	                 27	                 11	                 40	                 27	                 11	                  3	                  4	                 30	                 22	                  7	                 23	                 13	                 24	                 35	                 25	                 28
 34	                 25	                 17	                 37	                 44	                 13	                 37	                 39	                 20	                 49	                 47	                 24	                  7	                 33	                 47	                 21	                 28	                 23	                  9	                  4	                 18	                 45	                  9	                  6	                 39	                 14	                 46	                 37	                  0	                 45	                 37	                 18	                 28	                  8	                 45	                 27	                 22	                 47	                 21	                 36	                 33	                 30	                  7	                 23	                  8	                 46	                 13	                 24	                 33	                 18	                 28
 35	                  9	                 36	                 16	                 44	                 13	                  8	                 39	                 45	                 41	                 47	                 34	                 17	                 47	                 34	                 21	                 28	                  9	                 14	                  4	                 18	                 29	                 39	                 46	                 18	                 16	                 41	                  6	                  0	                 22	                 14	                 38	                 17	                  5	                 24	                 27	                 19	                  8	                 23	                 42	                 44	                 20	                 39	                  0	                 30	                  7	                  4	                 30	                  2	                 36	                 28
 36	                 40	                 27	                 22	                 15	                 42	                 31	                 32	                 14	                 37	                 40	                 27	                 14	                 21	                  4	                  1	                 45	                 14	                 12	                 41	                 17	                 29	                  1	                 25	                 46	                  0	                 41	                  6	                 24	                 42	                 28	                 46	                 24	                 43	                 34	                 27	                 26	                 22	                 21	                  8	                 11	                 49	                 42	                 24	                 30	                 19	                  9	                 24	                 41	                 36	                 28
 37	                 40	                 41	                 40	                  0	                 26	                  6	                 28	                 48	                 49	                 16	                 35	                 22	                 41	                 37	                  1	                 13	                 15	                 12	                  3	                  5	                 39	                  1	                 33	                 46	                 16	                 33	                 38	                 31	                 31	                 46	                 12	                 13	                 23	                 41	                 26	                 36	                 44	                 21	                 41	                 12	                 36	                 42	                  6	                 43	                 19	                  9	                 24	                 33	                 44	                 47
 38	                 41	                 38	                 16	                 44	                  0	                 24	                 28	                  0	                 27	                 16	                 35	                  3	                 29	                 15	                  4	                 13	                 37	                 12	                  3	                  1	                 44	                  1	                 11	                 46	                 16	                 33	                 39	                 28	                 13	                 16	                  2	                 43	                 46	                 41	                 26	                  9	                 28	                 22	                 41	                 17	                 31	                  2	                 36	                 30	                  2	                 19	                 40	                  1	                 44	                  2
 39	                 49	                 38	                 40	                 44	                 46	                 24	                 14	                  6	                 34	                 16	                 18	                  3	                 28	                 15	                 20	                 47	                 26	                 12	                  8	                 37	                 44	                  7	                 27	                 27	                 16	                  7	                 49	                  0	                 20	                  8	                 24	                 17	                  4	                  8	                 26	                  1	                 28	                  7	                 41	                 36	                 38	                  2	                 36	                 30	                 19	                  5	                  9	                 21	                 44	                 20
 40	                 20	                 38	                 40	                  0	                 47	                 19	                 38	                 10	                  0	                 41	                 17	                 15	                 28	                  0	                 20	                 47	                 14	                  6	                  8	                 29	                 29	                 23	                 37	                 27	                 29	                 41	                 28	                  0	                  6	                 35	                 32	                 17	                 36	                 34	                  9	                  5	                 28	                  8	                 19	                 36	                 47	                 27	                 21	                  6	                 19	                 40	                 21	                 49	                 44	                 46
 41	                 20	                 38	                  0	                  6	                 40	                 48	                 27	                 41	                  8	                 25	                  2	                 12	                 38	                 34	                 35	                  8	                 14	                 37	                  8	                 17	                 23	                 44	                 41	                 27	                 23	                  3	                  1	                  0	                  6	                  1	                 48	                 17	                  9	                  5	                 15	                 23	                 28	                  6	                 15	                 17	                 47	                 45	                 21	                  9	                 18	                 40	                 39	                  1	                 44	                 46
 42	                 20	                 38	                  5	                  6	                 38	                 25	                  5	                 10	                 27	                 25	                 17	                  4	                 22	                 22	                  6	                  7	                 47	                 16	                 28	                 17	                 23	                 13	                 41	                 44	                 45	                 47	                  1	                  0	                 41	                 42	                 19	                 25	                  2	                  6	                 15	                 36	                 44	                 31	                 43	                 17	                 13	                 45	                 21	                 15	                 13	                 23	                 39	                 38	                 44	                 46
 43	                  4	                 34	                 13	                  6	                 22	                  9	                 49	                 36	                 46	                 38	                 48	                 25	                 19	                 35	                 48	                 29	                 47	                 35	                 45	                 17	                 49	                 13	                 34	                 44	                  8	                 24	                  7	                  0	                 41	                 48	                 19	                 45	                 11	                  6	                 28	                 23	                 44	                 31	                 43	                 44	                 13	                 45	                 21	                 39	                 23	                 45	                 39	                 12	                 13	                 46
 44	                  3	                  2	                 12	                  6	                  4	                  1	                 14	                 46	                 12	                 38	                 19	                 37	                 19	                 45	                 48	                 31	                 15	                 12	                 47	                 39	                 37	                 31	                 34	                 12	                  4	                 48	                  7	                  0	                  1	                 38	                 14	                 45	                 46	                 36	                 22	                  7	                 44	                 42	                  0	                 17	                 22	                 45	                 21	                  6	                  7	                 21	                 23	                 29	                 13	                 46
