# t	policy	fitness           	C                    	ir         	bankrupts	bestLenderID	bestLenderClients	creditChannels
# interbank.py C_i0=30 D_i0=135 E_i0=15 L_i0=120 N=50 T=1000 r_i0=0.02 Φ=0.025 Χ=0.015 α=0.1 β=5 μ=0.7 ξ=0.3 ρ=0.3 ω=0.55
 60	0.0	 0.8216868464576865	 3762.1211844657864	 0.11273713627922329	  4	                0.86	                0.12	  1
 61	0.0	 0.5507268684722763	 4102.4401221561475	 0.22514837331491525	 11	                0.66	                 0.1	  2
 62	0.0	 0.7643051466365175	 3577.9806368620725	 0.11775535609350046	  7	                0.66	                 0.1	  3
 63	0.0	 0.7281472590213283	  3518.500878595287	 0.08343406297891288	  9	                 0.5	                0.08	  3
 64	0.0	 0.6420468431860553	  3636.790508523175	 0.03337640955128219	  9	                0.66	                 0.1	  6
 65	0.0	 0.7061579312952498	  3872.390207491708	 0.05744848740041542	  7	                0.76	                 0.1	  2
 66	0.0	 0.6700118633047364	 3893.6877658212456	  0.1306818662461028	 10	                0.76	                0.12	  2
 67	0.0	 0.6397558035378608	  3855.643763633515	  0.1371532638721265	 10	                0.76	                0.12	  2
 68	0.0	 0.7197135074339169	 3395.9552658543034	  0.1382347132866851	  7	                0.76	                0.14	  2
 69	0.0	 0.7192078439964117	 3183.7105705845206	 0.16143943351647508	  8	                0.76	                 0.1	  2
 70	0.0	 0.6988055530165821	  3184.851011460784	  0.3670466544436761	  7	                0.76	                0.12	  6
 71	0.0	 0.6813605323835167	  3108.812586091887	  0.2330059890338016	 10	                0.92	                0.12	  2
 72	0.0	 0.5869793975915214	  2946.332463536655	 0.19882418971605043	 14	                0.92	                0.08	  3
 73	0.0	 0.5970249626106926	 3256.4463614701317	 0.03919254212729499	 12	                 0.7	                0.08	  6
 74	0.0	 0.6547685409633663	  2937.836519728474	 0.08604010699419468	  6	                 0.5	                 0.1	  3
 75	0.0	 0.6372197792363313	 3223.1443947365415	 0.08899212556002639	  9	                0.06	                0.08	  6
 76	0.0	 0.6373243215591085	 3307.2179176655195	 0.09445221731019801	 10	                0.62	                 0.1	  4
 77	0.0	 0.6835628009793543	  2813.842598098337	 0.09190594058367735	 10	                0.84	                0.06	  2
 78	0.0	 0.6705825084756712	 2926.2594467743897	 0.10619089255853335	 10	                0.06	                0.08	  0
 79	0.0	 0.6273467290667217	  2744.617506260753	  0.2655928083625515	 10	                0.06	                0.08	  1
 80	0.0	 0.6179626185235638	 2514.4379234626635	 0.10310918054919929	 11	                0.48	                0.08	  3
 81	0.0	 0.5433107019062665	 2907.1733500799983	  0.0472455108207331	 13	                0.72	                0.08	  6
 82	0.0	 0.7408760957218068	 2915.2273783949854	0.030552309639303412	  6	                0.54	                0.08	  4
 83	0.0	 0.6276710136115022	 3331.1542946963573	 0.07995054350100003	 11	                 0.6	                 0.1	  4
 84	0.0	 0.5329105877661151	 3322.6430003192763	 0.11097616872966577	  9	                 0.8	                 0.1	  2
 85	0.0	 0.6430705059124504	  3156.546694152404	  0.1367615002968468	 10	                 0.8	                 0.1	  4
 86	0.0	 0.6829646353113752	  2643.849159967315	0.023236740407305466	  6	                0.84	                 0.1	  3
 87	0.0	 0.6823398515688802	 2649.9704582382083	0.021948808765075677	  6	                0.16	                0.08	  3
 88	0.0	 0.6932901796161518	  2630.975420594929	 0.02804596630167262	  8	                0.16	                0.12	  2
 89	0.0	 0.5120241200988208	 2838.6233535684414	 0.05794519892273866	 15	                0.16	                 0.1	  2
 90	0.0	 0.5388200783816921	  2957.998278221251	0.017146709783254013	 13	                0.78	                 0.1	  3
 91	0.0	 0.6075300486372175	  2601.823450143299	0.047028063520760506	 11	                0.78	                 0.1	  1
 92	0.0	0.49114828643475195	  2736.432287969813	 0.18652277533972897	  6	                0.78	                0.12	  2
 93	0.0	 0.6659826678912278	 2364.8635716448875	 0.06895207959447527	  9	                0.78	                 0.1	  2
 94	0.0	 0.6935621036724576	  1979.392032255253	 0.10175782217287621	  8	                0.78	                0.16	  3
 95	0.0	 0.6238793243618445	 2188.4457748173595	 0.10609907868958635	 13	                0.78	                0.08	  3
 96	0.0	 0.5347993015965802	 2046.6703309500003	 0.09986488549915688	 16	                 0.5	                0.08	  2
 97	0.0	 0.6791747875483155	 2393.1172954359963	 0.09324420699254306	  8	                0.06	                0.08	  2
 98	0.0	 0.6761474340249616	 2481.9673566903234	 0.05367377941733954	  8	                0.06	                0.08	  1
 99	0.0	  0.615559516627494	 2387.0045151589134	 0.05235231284288137	 11	                0.56	                0.08	  6
100	0.0	 0.6244938580886275	 2642.8390448670134	 0.05133040615682569	 11	                0.24	                 0.1	  6
