# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# bankruptcy
 25	                  6	                  7	                  9	                 15	                 10	                 13	                  9	                  6	                  9	                  4	                  7	                  9	                 10	                 11	                  6	                 11	                  9	                  9	                  8	                  9	                 11	                  8	                  9	                 18	                 11	                 10	                  8	                 14	                  8	                 10	                 15	                 12	                 13	                 10	                 13	                 15	                 12	                 11	                  8	                 13	                 10	                 12	                 14	                  8	                  6	                  8	                  3	                 11	                 13	                 10
 26	                  6	                 12	                  8	                  7	                 10	                 13	                 10	                  7	                 10	                 12	                 16	                  7	                  4	                 10	                 18	                 11	                 13	                  5	                 14	                  7	                  9	                  9	                 13	                 17	                  7	                 10	                  8	                 10	                  8	                 10	                  7	                  6	                 13	                 11	                  9	                 12	                  4	                 13	                 11	                  9	                 11	                 13	                  9	                  7	                 10	                 10	                  9	                  6	                  5	                  9
 27	                  9	                  8	                 13	                  7	                 11	                  8	                  9	                 12	                  8	                  8	                  8	                 13	                  5	                  6	                 13	                 10	                  8	                  9	                 10	                  9	                  7	                  9	                  5	                  7	                  6	                  4	                 10	                  8	                 13	                  7	                 10	                  6	                  7	                 10	                  6	                  6	                  7	                  9	                 14	                  9	                  7	                 12	                 12	                 10	                  9	                  6	                  7	                 10	                  9	                  7
 28	                 18	                  6	                 10	                  9	                 11	                 10	                  8	                 14	                 13	                 14	                 10	                 10	                  9	                  5	                 10	                 12	                  8	                  6	                 15	                  8	                  6	                  9	                  8	                 11	                 10	                  6	                 12	                 17	                  8	                  9	                 11	                 12	                 12	                 10	                  8	                 14	                 12	                  9	                  7	                 10	                  7	                  7	                 11	                 11	                  7	                 13	                 11	                 11	                  6	                  7
 29	                 12	                  8	                 10	                  7	                 13	                 13	                 11	                 12	                  8	                 11	                 10	                 12	                 18	                  8	                 15	                  4	                  7	                 10	                  7	                  6	                 13	                  7	                  6	                 15	                  5	                 13	                 16	                 11	                  8	                  8	                  9	                  7	                  4	                 13	                  9	                 11	                 15	                 11	                 10	                 11	                  5	                  7	                  5	                  7	                  5	                 10	                  8	                  9	                  9	                  6
 30	                  5	                 15	                  6	                  7	                 11	                  7	                  7	                  9	                  9	                 11	                  7	                 14	                  7	                 13	                 11	                  8	                 13	                  6	                 12	                  9	                  9	                 16	                  9	                 10	                 12	                 13	                 10	                 11	                  7	                  8	                  8	                  8	                  7	                 11	                  9	                  8	                  9	                  6	                 11	                  6	                 15	                  5	                  8	                  8	                  7	                  7	                 13	                 17	                  4	                  5
 31	                 11	                  4	                 13	                  7	                 10	                  8	                 10	                 12	                  7	                  8	                 12	                 14	                 11	                  9	                 12	                 15	                 12	                  9	                  9	                 11	                  8	                  9	                 16	                  8	                 17	                  6	                 10	                 15	                 10	                  6	                 14	                  8	                  3	                  8	                 11	                  9	                 14	                  9	                 13	                 10	                 10	                  6	                 10	                  9	                  9	                  9	                 12	                 13	                  8	                 12
 32	                  5	                  8	                  9	                  7	                 10	                  8	                  9	                 15	                 10	                  6	                 10	                  7	                 11	                  8	                  7	                 10	                  8	                 10	                  7	                  7	                  5	                  8	                  7	                 10	                 15	                 10	                  9	                 12	                  6	                 10	                 13	                  7	                 13	                  6	                 12	                 12	                 10	                  8	                 11	                 11	                 12	                  5	                 11	                  8	                  5	                 13	                 15	                 12	                  9	                  6
 33	                 10	                 15	                  7	                 11	                  9	                  9	                  6	                 10	                  7	                  6	                 12	                  8	                 11	                 11	                  8	                  8	                  9	                 14	                 14	                  8	                  9	                  5	                  7	                 15	                 15	                  9	                  8	                  7	                 11	                  8	                  7	                  7	                  6	                  4	                  8	                  9	                 12	                 12	                 13	                  5	                 17	                  3	                 13	                 13	                 13	                  6	                 14	                  8	                  6	                  9
 34	                 16	                  8	                  3	                  6	                 11	                  7	                 11	                  6	                 14	                  6	                 11	                  8	                  8	                 11	                 13	                 10	                 12	                 12	                 16	                 10	                 13	                  9	                  7	                 11	                  9	                  9	                  8	                 13	                 12	                 13	                 20	                 11	                  8	                 10	                 12	                 11	                  7	                 13	                 13	                 11	                 10	                 10	                  9	                 11	                  8	                  5	                 11	                  3	                  7	                  9
 35	                  9	                 10	                  8	                  8	                 13	                  7	                  6	                 10	                  6	                  8	                  5	                 10	                  8	                  8	                  9	                 10	                 12	                 12	                  8	                  9	                 11	                  9	                  8	                  9	                 10	                  9	                  9	                  8	                 13	                 13	                  8	                  9	                  5	                 12	                  8	                  6	                  9	                  4	                 12	                  4	                  7	                  7	                 15	                  9	                 12	                  4	                 11	                 11	                  8	                  4
 36	                  6	                  6	                 14	                  6	                 11	                  5	                  8	                 13	                  8	                 12	                 12	                 11	                  9	                  8	                 11	                  8	                 11	                  8	                  9	                 10	                 12	                 11	                  7	                 14	                 11	                 15	                 12	                  7	                 11	                 11	                  7	                  8	                 14	                  9	                  8	                  6	                  9	                  7	                  6	                  6	                 10	                  5	                  8	                  6	                  7	                 10	                 13	                  6	                  7	                  9
 37	                 11	                 10	                  5	                  5	                 12	                  6	                 14	                  9	                  6	                 12	                 10	                  7	                 14	                  8	                 13	                 10	                  7	                  5	                  9	                 15	                 10	                  9	                  8	                 13	                 13	                 10	                  8	                  6	                  8	                 14	                 11	                 10	                 15	                  8	                 13	                 15	                  9	                  8	                  8	                 11	                  6	                  9	                  6	                 13	                  8	                  7	                 12	                  8	                 10	                  8
 38	                  8	                 11	                 14	                  5	                 10	                  8	                  7	                  8	                 10	                  7	                  7	                  8	                  9	                  6	                 17	                  6	                 10	                 11	                  9	                 10	                  5	                  9	                 10	                 14	                 10	                  9	                 10	                 21	                 10	                 13	                 11	                  8	                  5	                  7	                  6	                  6	                 12	                 14	                 13	                  7	                 16	                 10	                  6	                 14	                 14	                 10	                  8	                 12	                  4	                 11
 39	                 11	                  5	                 15	                  6	                 10	                  7	                  5	                  5	                  6	                 17	                  8	                  8	                  9	                  5	                  9	                  4	                  7	                 10	                  9	                  8	                  7	                 10	                  8	                 10	                 18	                 13	                  4	                 11	                 15	                  6	                  9	                 14	                  9	                 13	                 19	                 12	                 12	                  9	                 12	                  8	                  8	                 10	                  8	                  9	                  4	                  9	                 11	                 11	                  8	                 10
 40	                 10	                 14	                  8	                  7	                  7	                  7	                 10	                 13	                 11	                 10	                 12	                 14	                 12	                 11	                 12	                  7	                  8	                  9	                  8	                  7	                 12	                  9	                 17	                  3	                  9	                 10	                  5	                  6	                 11	                  7	                  9	                  9	                  9	                  8	                  5	                 10	                  9	                 15	                  9	                  6	                 10	                 13	                  5	                 11	                  9	                  9	                 13	                  8	                 10	                  8
 41	                 14	                  8	                 11	                 12	                 13	                  5	                  9	                 13	                  9	                 10	                 10	                  5	                  7	                  5	                 12	                  5	                 17	                  8	                 12	                  8	                 12	                  6	                  8	                 13	                  7	                  8	                 10	                  6	                  8	                  8	                 11	                  9	                 15	                 15	                  8	                 10	                  7	                 13	                  7	                  9	                  9	                 12	                  6	                 14	                 10	                  9	                  9	                  9	                 16	                 10
 42	                  8	                  6	                  3	                  5	                  9	                 15	                  9	                  7	                 17	                 14	                 11	                 17	                  8	                 13	                  2	                  8	                  6	                 11	                  7	                  4	                  9	                 11	                 10	                  9	                 11	                  8	                  4	                 13	                  8	                 10	                  8	                 14	                  9	                 11	                  8	                 11	                 13	                  8	                 14	                 11	                  4	                  4	                 14	                 11	                  7	                 10	                 10	                  6	                  8	                  6
 43	                  6	                 10	                  8	                  4	                 11	                  5	                  5	                 12	                 14	                 11	                 11	                  5	                 10	                 11	                 10	                  4	                 10	                 11	                 10	                  7	                 11	                  7	                  6	                 13	                  6	                  8	                  7	                 10	                 13	                 14	                  7	                  9	                 10	                 11	                  8	                  7	                 10	                 11	                  9	                  7	                 10	                  8	                  6	                  7	                 16	                 13	                  6	                  8	                 14	                 12
 44	                  9	                 13	                 11	                  6	                 13	                 10	                 12	                  9	                  4	                  6	                 10	                 10	                 11	                  8	                  6	                  7	                 17	                 12	                 11	                 10	                 14	                  9	                 14	                 11	                  9	                  9	                  6	                  7	                  7	                 12	                  9	                  9	                  7	                 14	                  8	                  9	                 11	                  9	                 10	                  9	                  8	                  7	                  4	                 12	                 11	                 12	                  4	                  9	                 12	                  9
