# n	sum_policy	sum_fitness	sum_liquidity	sum_ir	sum_bankruptcy	sum_best_lender	sum_best_num_clients	sum_credit_channels	sum_rationing	sum_leverage
 29	              172.0	  499.5912156592988	  3100503.012921892	  144.5318917358879	             9462.0	            24513.0	             4819.0	             3110.0	 41530.915335590944	   96.2901216883799
 30	              166.0	  508.2917972781519	 3010250.5575071294	 164.58936775844387	             9647.0	            24361.0	             4709.0	             3164.0	 42485.584206607615	  98.46164718779153
 31	              175.0	 500.02280928283136	 3253988.4403169593	 129.71950831818364	             9140.0	            24430.0	             4772.0	             3005.0	   41425.5848463183	  95.53348792312684
 32	              173.0	  488.3521196297024	  3149686.545269512	 138.53784796230488	             9585.0	            24914.0	             4791.0	             3091.0	   42679.8348020841	  99.17665974624411
 33	              164.0	  490.8145250352336	  3168503.070630963	 139.83007480107156	             9526.0	            23859.0	             4719.0	             3145.0	  41288.62535961986	  96.76668406188587
 34	              176.0	  486.9024322624637	 3029167.5672277403	 125.93967260578714	             9760.0	            25781.0	             4682.0	             3279.0	  42948.72827434632	  97.09828273557783
 35	              168.0	  507.9944130706548	  3136905.673305793	 146.12184841031967	             9380.0	            25681.0	             4720.0	             3127.0	   42035.1898727589	  98.47048553086988
 36	              185.0	  500.3673781768058	 3228398.6067089657	 140.53136365496775	             9435.0	            25191.0	             4661.0	             3125.0	  42475.71919597968	  96.67181205944199
 37	              164.0	 506.72661568267006	 2912660.4140867055	  138.5862217046887	             9672.0	            24018.0	             4691.0	             3229.0	 43357.372814460694	  97.08100453503786
 38	              188.0	  503.7082070845351	  3109549.459981285	 136.13080082208555	             9574.0	            23628.0	             4756.0	             3240.0	  43635.53776786708	  94.80722283723011
 39	              179.0	 482.20441812853886	  3123412.257588061	   148.234006183475	             9508.0	            25027.0	             4762.0	             3180.0	 42188.009321495294	  96.16704997654028
 40	              152.0	 507.58092106900506	  3081845.917811391	 148.17662120169936	             9556.0	            24887.0	             4850.0	             3181.0	  43156.46471656579	  97.04869976897406
 41	              163.0	  504.8927274059511	   3076792.97486125	  154.3298070039119	             9462.0	            24930.0	             4728.0	             3260.0	  41015.51406049411	  96.77730989844409
 42	              169.0	  491.1120917030805	 3116871.1348958868	 138.55539525359202	             9517.0	            24478.0	             4754.0	             3181.0	  43307.19478725694	   94.7410711644729
 43	              178.0	  505.2338961680174	 3118613.2135752854	 141.69004742296363	             9473.0	            25304.0	             4747.0	             3072.0	  43350.15112914545	  96.93831193914983
 44	              183.0	  483.1645826257178	  3118001.065845314	 120.83284828878139	             9461.0	            24204.0	             4694.0	             3080.0	 42017.015093608235	   96.1420758427769
 45	              174.0	 479.69715255509857	  3050404.288844273	  176.6578699533827	             9390.0	            24300.0	             4777.0	             3101.0	  42068.27373467675	  97.02822277219101
 46	              175.0	 505.17776072529927	 3217943.8554533697	 164.31311376817365	             9412.0	            24031.0	             4796.0	             3258.0	   41519.2019527553	  96.09899844397593
 47	              176.0	  507.4488992330014	 3002770.1372486195	 140.77335289067966	             9594.0	            25208.0	             4592.0	             3133.0	  42134.20935895226	  98.07330242532235
 48	              154.0	  509.7723946563969	  3145681.060884254	 140.21826082596397	             9334.0	            24365.0	             4846.0	             3123.0	  41081.24067186289	  97.70017736919866
 49	              165.0	  502.3484493821576	   3290324.70020009	  139.6589477814745	             9471.0	            25187.0	             4785.0	             3267.0	 41670.291425631935	  97.60329567714162
